,团队,红牌,黄牌
11,Republic of Ireland,1.0,6.0
9,Poland,1.0,7.0
6,Greece,1.0,9.0
5,Germany,0.0,4.0
15,Ukraine,0.0,5.0
12,Russia,0.0,6.0
14,Sweden,0.0,7.0
0,Croatia,0.0,9.0
13,Spain,0.0,11.0
7,Italy,0.0,16.0
